goal_id,goal_label,n_docs,top_terms
G3_biodiversity_interactions,How different components of biodiversity interact,1225,composition within; community composition within; within soils experimental; within soils; task regularly monitor; within core project; within core; composition within soils; task regularly; regularly monitor; saproxylic beetle; like management
G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,1153,diversity studied three; studied three exploratories; exploratories whole; exploratories whole vegetation; whole vegetation; whole vegetation period; use arthropod; three exploratories whole; land use arthropod; use arthropod diversity; vesca; fragaria
G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,855,soc; som; project soil; core project soil; soil organic carbon; maom; auflage; gravimetric; gravimetric soil water; gravimetric soil; sink; phosphate
G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,146,governance; visualization; dqm; perceptions; foresters stakeholders; datenqualität; bexis2; insektentaschenrechner; compiled foresters; human-nature; interessengruppen; worldviews
