quantile,floor,cut,coverage
0.2,0.12,0.4157118320465088,0.799940810890796
0.2,0.14,0.4157118320465088,0.799940810890796
0.2,0.16,0.4157118320465088,0.799940810890796
0.2,0.18,0.4157118320465088,0.799940810890796
0.2,0.2,0.4157118320465088,0.799940810890796
0.25,0.12,0.43054310977458954,0.7499260136134951
0.25,0.14,0.43054310977458954,0.7499260136134951
0.25,0.16,0.43054310977458954,0.7499260136134951
0.25,0.18,0.43054310977458954,0.7499260136134951
0.25,0.2,0.43054310977458954,0.7499260136134951
0.3,0.12,0.4433599472045898,0.6999112163361941
0.3,0.14,0.4433599472045898,0.6999112163361941
0.3,0.16,0.4433599472045898,0.6999112163361941
0.3,0.18,0.4433599472045898,0.6999112163361941
0.3,0.2,0.4433599472045898,0.6999112163361941
0.35,0.12,0.45495442152023313,0.6498964190588932
0.35,0.14,0.45495442152023313,0.6498964190588932
0.35,0.16,0.45495442152023313,0.6498964190588932
0.35,0.18,0.45495442152023313,0.6498964190588932
0.35,0.2,0.45495442152023313,0.6498964190588932
0.4,0.12,0.46467812061309816,0.5998816217815922
0.4,0.14,0.46467812061309816,0.5998816217815922
0.4,0.16,0.46467812061309816,0.5998816217815922
0.4,0.18,0.46467812061309816,0.5998816217815922
0.4,0.2,0.46467812061309816,0.5998816217815922
0.45,0.12,0.4742606282234192,0.5498668245042913
0.45,0.14,0.4742606282234192,0.5498668245042913
0.45,0.16,0.4742606282234192,0.5498668245042913
0.45,0.18,0.4742606282234192,0.5498668245042913
0.45,0.2,0.4742606282234192,0.5498668245042913
0.5,0.12,0.4845123887062073,0.5001479727730098
0.5,0.14,0.4845123887062073,0.5001479727730098
0.5,0.16,0.4845123887062073,0.5001479727730098
0.5,0.18,0.4845123887062073,0.5001479727730098
0.5,0.2,0.4845123887062073,0.5001479727730098
-,-,margin>=0.03,0.27759692216632137
-,-,margin>=0.05,0.0665877478543948
-,-,margin>=0.07,0.011837821840781295
